代碼,意義
01,交岔路口內
02,交岔口附近
03,機車待轉區
04,機車停等區
05,交通島(含槽化線)
06,迴轉道
07,快車道
08,慢車道
09,一般車道(未劃分快慢車道)
10,公車專用道
11,機車專用道
12,機車優先道
13,路肩、路緣
14,交流道-加速車道
15,交流道-減速車道
16,交流道-直線匝道
17,交流道-環道匝道
18,行人穿越道
19,穿越道附近
20,人行道
21,收費站附近
22,其他
