代碼,意義
A01,公營公車
A02,民營公車
A03,公營客運
A04,民營客運
A05,遊覽車
A06,自用大客車
C01,大型重型機車-550C.C.以上
C02,大型重型機車-250-550C.C.
C03,普通重型機車
C04,普通輕型機車
C05,小型輕型機車
D01,大客車-軍車
D02,載重車-軍車
D03,小型車-軍車
A11,營業用大貨車
A12,自用大貨車
A21,營業用全聯結車
A22,自用全聯結車
E01,救護車
E02,消防車
E03,警備車
E04,工程車
E05,其他特種車
A31,營業用半聯結車
A32,自用半聯結車
F01,腳踏自行車
F02,電動輔助自行車
F03,電動自行車
F04,人力車
F05,獸力車
F06,其他慢車
A41,營業用曳引車
A42,自用曳引車
B01,計程車
B02,租貸車
B03,自用小客車
B11,營業用小貨車
B12,自用小貨車
G01,拼裝車
G02,農耕用車(或機械)
G03,動力機械
G04,拖車(架)
G05,火車
G06,其他車
H01,行人
H02,乘客
H03,其他人
