代碼,意義
01,民意代表、行政主管、企業主管及經理人員
02,專業人員
03,技術員及助理人員
04,事務工作者
05,服務工作者
06,售貨員
07,農林漁牧工作者
08,保安工作者(不含警察人員)
09,技術工
10,汽車、火車駕駛員及船員
11,機械設備操作工及組裝工
12,非技術工及體力工
13,未就學兒童
14,小學生
15,國中生
16,高中生
17,專科生
18,大學(研究)生
19,家庭主婦(夫)
20,無業者
21,其他
22,不明
23,警察人員
