代碼,意義
01,平交道-有遮斷器
02,平交道-無遮斷器
03,三岔路
04,四岔路
05,多岔路
06,隧道
07,地下道
08,橋樑
09,涵洞
10,高架道路
11,彎曲路及附近
12,坡路
13,巷弄
14,直路
15,其他
16,圓環
17,廣場
