代碼,意義
1,寬式快慢車道分隔島(50 公分以上)
2,窄式快慢車道分隔島(附柵欄)
3,窄式快慢車道分隔島(無柵欄)
4,快慢車道分隔線
5,未繪設快慢車道分隔線
