代碼,意義
01,中央分向島-寬式(50 公分以上)
02,中央分向島-窄式附柵欄
03,中央分向島-窄式無柵欄
04,雙向禁止超車線-附標記
05,雙向禁止超車線-無標記
06,單向禁止超車線-附標記
07,單向禁止超車線-無標記
08,行車分向線-附標記
09,行車分向線-無標記
10,無分向設施
