代碼,意義
01,前車頭
02,右側車身
03,後車尾
04,左側車身
05,右前車頭(身)
06,右後車尾(身)
07,左後車尾(身)
08,左前車頭(身)
09,車頂
10,車底
11,前車頭
12,右側車身
13,後車尾
14,左側車身
15,不明
16,非汽(機)車
